store_id,name,food_type,avg_rating,menu_items,business_hours,price_tier,price_range_rm,tags,is_synthetic_metadata
djw6,restoran salero minang,13635 min,4.2,"[""House Noodle"", ""Seasonal Vegetables"", ""Spicy Stir Fry"", ""Chef Signature Rice"", ""Soup of the Day"", ""Chicken Chop""]",Mon-Fri 16:00-01:00,budget,RM8-RM20,"cuisine:default, price:budget, spicy, halal-friendly, takeaway, late-night",True
pkxx,pasta panas (petronas station kota damansara),pasta,4.6,"[""Lemon Soda"", ""Mushroom Soup"", ""Seafood Marinara"", ""Bolognese"", ""Garlic Bread"", ""Carbonara""]",Tue-Sun 10:00-20:00,mid,RM15-RM35,"cuisine:pasta, price:mid, delivery, halal-friendly, family-friendly",True
jxoc,mat rock ayam goreng kunyit (kota damansara),chicken,4.6,"[""Chef Signature Rice"", ""Dessert Special"", ""Soup of the Day"", ""Seasonal Vegetables"", ""Fresh Juice"", ""Spicy Stir Fry""]",Mon-Sat 11:00-22:00,premium,RM30-RM70,"cuisine:default, price:premium, takeaway, halal-friendly, dine-in",True
vng8,"takoza snacks (khalifah, dataran sunway)",malaysian,4.7,"[""Ikan Bakar"", ""Ayam Berempah"", ""Satay Set"", ""Teh Tarik"", ""Roti Canai"", ""Laksa Utara""]",Mon-Fri 12:00-23:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, family-friendly, dine-in, delivery, late-night",True
tmqh,tomyam seafood annur tanjung (foodcourt),thai,4.7,"[""Thai Milk Tea"", ""Pad Thai"", ""Basil Chicken Rice"", ""Mango Sticky Rice"", ""Som Tam"", ""Pineapple Fried Rice""]",Tue-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:thai, price:premium, spicy, family-friendly, quick-bites",True
vp35,nasi ayam nzw mamii glam damansara,chicken,4.6,"[""House Noodle"", ""Fresh Juice"", ""Soup of the Day"", ""Chicken Chop"", ""Spicy Stir Fry"", ""Seasonal Vegetables""]",Mon-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:default, price:premium, family-friendly, spicy, takeaway",True
bbix,cik melur @the strand,fried rice,4.3,"[""Soup of the Day"", ""Seasonal Vegetables"", ""Spicy Stir Fry"", ""House Noodle"", ""Dessert Special"", ""Chicken Chop""]",Mon-Sat 09:00-18:00,budget,RM8-RM20,"cuisine:default, price:budget, delivery, takeaway, dine-in",True
t0a8,seri malaya - foodle (the strand mall),malaysian,3.8,"[""Laksa Utara"", ""Sambal Sotong"", ""Ayam Berempah"", ""Nasi Lemak Special"", ""Nasi Goreng Kampung"", ""Satay Set""]",Mon-Sun 11:00-22:00,budget,RM8-RM20,"cuisine:malaysian, price:budget, dine-in, takeaway, delivery",True
ncdn,hasta la pasta - foodle (the strand mall),italian,3.0,"[""Chef Signature Rice"", ""House Noodle"", ""Soup of the Day"", ""Dessert Special"", ""Seasonal Vegetables"", ""Fresh Juice""]",Mon-Fri 10:00-20:00,budget,RM8-RM20,"cuisine:default, price:budget, quick-bites, spicy, takeaway",True
em6p,marroush - foodle (the strand mall),asian,4.0,"[""Chicken Chop"", ""Soup of the Day"", ""Fresh Juice"", ""Dessert Special"", ""Seasonal Vegetables"", ""Chef Signature Rice""]",Mon-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:default, price:premium, family-friendly, halal-friendly, dine-in",True
egsp,wakaka eco damansara (ecds),pancakes & waffles,4.6,"[""Chef Signature Rice"", ""Seasonal Vegetables"", ""Chicken Chop"", ""House Noodle"", ""Dessert Special"", ""Soup of the Day""]",Mon-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:default, price:premium, halal-friendly, spicy, delivery",True
avl5,ayam kunyit maharaja - foodle (the strand mall),asian,3.6,"[""Chicken Chop"", ""Dessert Special"", ""Spicy Stir Fry"", ""Soup of the Day"", ""Chef Signature Rice"", ""Seasonal Vegetables""]",Tue-Sun 16:00-01:00,mid,RM15-RM35,"cuisine:default, price:mid, takeaway, dine-in, delivery, late-night",True
p4mn,waroeng batavia,malaysian,4.6,"[""Ayam Berempah"", ""Ikan Bakar"", ""Mee Goreng Mamak"", ""Nasi Lemak Special"", ""Teh Tarik"", ""Nasi Goreng Kampung""]",Mon-Sun 16:00-01:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, quick-bites, family-friendly, dine-in, late-night",True
neew,borak – borak cafe,malaysian,4.7,"[""Roti Canai"", ""Laksa Utara"", ""Nasi Goreng Kampung"", ""Sambal Sotong"", ""Satay Set"", ""Mee Goreng Mamak""]",Mon-Fri 07:00-15:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, delivery, spicy, dine-in",True
df6g,mala hotpot house 爱辣无忧· 麻辣家,malaysian,4.5,"[""Mee Goreng Mamak"", ""Sambal Sotong"", ""Roti Canai"", ""Teh Tarik"", ""Ayam Berempah"", ""Nasi Goreng Kampung""]",Mon-Fri 11:00-22:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, delivery, spicy, takeaway",True
wq8t,the hungry wok - foodle (the strand mall),asian,3.9,"[""Fresh Juice"", ""Chicken Chop"", ""House Noodle"", ""Soup of the Day"", ""Dessert Special"", ""Spicy Stir Fry""]",Tue-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:default, price:premium, halal-friendly, delivery, family-friendly",True
o38k,subway (thomson hospital),sandwiches,4.6,"[""House Noodle"", ""Seasonal Vegetables"", ""Dessert Special"", ""Spicy Stir Fry"", ""Chicken Chop"", ""Fresh Juice""]",Mon-Sat 12:00-23:00,premium,RM30-RM70,"cuisine:default, price:premium, halal-friendly, family-friendly, takeaway, late-night",True
noyl,i am geprek bensu @ foodle (the strand mall - kota damansara),malaysian,4.3,"[""Nasi Lemak Special"", ""Teh Tarik"", ""Laksa Utara"", ""Nasi Goreng Kampung"", ""Satay Set"", ""Ikan Bakar""]",Mon-Sun 12:00-23:00,budget,RM8-RM20,"cuisine:malaysian, price:budget, family-friendly, dine-in, quick-bites, late-night",True
ytld,nasi ayam berapi - foodle (the strand mall),malaysian,4.0,"[""Ayam Berempah"", ""Teh Tarik"", ""Ikan Bakar"", ""Roti Canai"", ""Laksa Utara"", ""Mee Goreng Mamak""]",Mon-Sun 07:00-15:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, dine-in, quick-bites, spicy",True
n2wl,martabak bang! (kota damansara),desserts,4.5,"[""Soup of the Day"", ""Dessert Special"", ""Fresh Juice"", ""Seasonal Vegetables"", ""House Noodle"", ""Chef Signature Rice""]",Mon-Fri 12:00-23:00,premium,RM30-RM70,"cuisine:default, price:premium, family-friendly, takeaway, halal-friendly, late-night",True
gp2h,smashhouse burgers - foodle (the strand mall),asian,4.2,"[""Fresh Juice"", ""Soup of the Day"", ""Chicken Chop"", ""Spicy Stir Fry"", ""Seasonal Vegetables"", ""Chef Signature Rice""]",Mon-Sat 16:00-01:00,premium,RM30-RM70,"cuisine:default, price:premium, delivery, spicy, halal-friendly, late-night",True
arkw,foodle food hall - foodle (the strand mall),asian,3.8,"[""House Noodle"", ""Dessert Special"", ""Fresh Juice"", ""Soup of the Day"", ""Chef Signature Rice"", ""Spicy Stir Fry""]",Mon-Sun 07:00-15:00,budget,RM8-RM20,"cuisine:default, price:budget, spicy, dine-in, quick-bites",True
jrtu,semarak corner,fried rice,4.7,"[""Dessert Special"", ""Chef Signature Rice"", ""Spicy Stir Fry"", ""House Noodle"", ""Chicken Chop"", ""Soup of the Day""]",Mon-Sun 09:00-18:00,mid,RM15-RM35,"cuisine:default, price:mid, takeaway, delivery, spicy",True
n4qr,ai nasi lemak ayam berempah,malaysian,4.6,"[""Mee Goreng Mamak"", ""Ikan Bakar"", ""Laksa Utara"", ""Roti Canai"", ""Nasi Lemak Special"", ""Satay Set""]",Mon-Sun 09:00-18:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, dine-in, quick-bites, takeaway",True
sgw1,the good bowls & pasta - foodle (the strand mall),malaysian,3.6,"[""Teh Tarik"", ""Satay Set"", ""Nasi Lemak Special"", ""Mee Goreng Mamak"", ""Roti Canai"", ""Sambal Sotong""]",Tue-Sun 12:00-23:00,budget,RM8-RM20,"cuisine:malaysian, price:budget, quick-bites, takeaway, family-friendly, late-night",True
p3zc,punjabi vibes,middle eastern,4.4,"[""Chicken Chop"", ""House Noodle"", ""Chef Signature Rice"", ""Dessert Special"", ""Seasonal Vegetables"", ""Soup of the Day""]",Tue-Sun 07:00-15:00,budget,RM8-RM20,"cuisine:default, price:budget, halal-friendly, family-friendly, delivery",True
m8gp,nasi pak man,malaysian,4.5,"[""Sambal Sotong"", ""Satay Set"", ""Ikan Bakar"", ""Roti Canai"", ""Laksa Utara"", ""Nasi Lemak Special""]",Mon-Sun 16:00-01:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, halal-friendly, family-friendly, spicy, late-night",True
pms2,chicken royale (kota damansara),asian,4.5,"[""Spicy Stir Fry"", ""Chicken Chop"", ""Soup of the Day"", ""Chef Signature Rice"", ""House Noodle"", ""Fresh Juice""]",Mon-Fri 09:00-18:00,mid,RM15-RM35,"cuisine:default, price:mid, takeaway, halal-friendly, delivery",True
pos2,mee tarik warisan asli (kota damansara),noodles,4.7,"[""Pan Mee"", ""Fried Mee Hoon"", ""Beef Noodle Soup"", ""Dry Wantan Mee"", ""Fish Ball Noodle"", ""Curry Mee""]",Mon-Sat 10:00-20:00,premium,RM30-RM70,"cuisine:noodles, price:premium, halal-friendly, quick-bites, delivery",True
l93a,restoran vicchuda (kota damansara),malaysian,4.3,"[""Laksa Utara"", ""Roti Canai"", ""Nasi Lemak Special"", ""Teh Tarik"", ""Ikan Bakar"", ""Nasi Goreng Kampung""]",Mon-Sat 16:00-01:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, quick-bites, delivery, halal-friendly, late-night",True
t722,anak kampung @ kota damansara,malaysian,4.7,"[""Mee Goreng Mamak"", ""Nasi Goreng Kampung"", ""Roti Canai"", ""Satay Set"", ""Ikan Bakar"", ""Ayam Berempah""]",Mon-Sat 07:00-15:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, dine-in, takeaway, quick-bites",True
n0dq,ayn zamzam restaurant kota damansara,chicken,4.6,"[""Soup of the Day"", ""House Noodle"", ""Chef Signature Rice"", ""Fresh Juice"", ""Seasonal Vegetables"", ""Dessert Special""]",Tue-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:default, price:premium, takeaway, halal-friendly, family-friendly",True
m8ny,zahra hadramawt restaurant,chicken,4.3,"[""House Noodle"", ""Chicken Chop"", ""Dessert Special"", ""Fresh Juice"", ""Soup of the Day"", ""Seasonal Vegetables""]",Mon-Fri 12:00-23:00,budget,RM8-RM20,"cuisine:default, price:budget, halal-friendly, delivery, takeaway, late-night",True
l3vc,nasi ambeng mayya,malaysian,4.6,"[""Satay Set"", ""Sambal Sotong"", ""Teh Tarik"", ""Laksa Utara"", ""Nasi Goreng Kampung"", ""Ikan Bakar""]",Mon-Sat 10:00-20:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, quick-bites, halal-friendly, dine-in",True
nrok,ayam penyet ap (giant kota damansara),ayam penyet,4.7,"[""Chef Signature Rice"", ""House Noodle"", ""Spicy Stir Fry"", ""Fresh Juice"", ""Soup of the Day"", ""Seasonal Vegetables""]",Mon-Sun 16:00-01:00,mid,RM15-RM35,"cuisine:default, price:mid, quick-bites, dine-in, takeaway, late-night",True
fp5r,d'siantan seafood @ lid tomyam,malaysian,4.3,"[""Roti Canai"", ""Nasi Goreng Kampung"", ""Ayam Berempah"", ""Laksa Utara"", ""Satay Set"", ""Nasi Lemak Special""]",Mon-Sat 16:00-01:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, quick-bites, spicy, halal-friendly, late-night",True
q9eq,nasi ayam mewangi azeem,chicken,4.6,"[""Fresh Juice"", ""Seasonal Vegetables"", ""Chicken Chop"", ""Soup of the Day"", ""House Noodle"", ""Dessert Special""]",Mon-Fri 07:00-15:00,premium,RM30-RM70,"cuisine:default, price:premium, quick-bites, spicy, dine-in",True
o7qz,ujang char kuey teow,fried rice,4.7,"[""Chicken Chop"", ""Fresh Juice"", ""House Noodle"", ""Dessert Special"", ""Chef Signature Rice"", ""Spicy Stir Fry""]",Mon-Fri 07:00-15:00,premium,RM30-RM70,"cuisine:default, price:premium, halal-friendly, takeaway, dine-in",True
n6bk,nasi kandar padang kota (cova square),nasi kandar,4.6,"[""Sambal Sotong"", ""Teh Tarik"", ""Roti Canai"", ""Mee Goreng Mamak"", ""Nasi Lemak Special"", ""Nasi Goreng Kampung""]",Tue-Sun 16:00-01:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, quick-bites, spicy, halal-friendly, late-night",True
f1zu,lid tomyam,fried rice,4.0,"[""Soup of the Day"", ""Dessert Special"", ""Seasonal Vegetables"", ""House Noodle"", ""Chicken Chop"", ""Fresh Juice""]",Mon-Sat 11:00-22:00,mid,RM15-RM35,"cuisine:default, price:mid, quick-bites, dine-in, delivery",True
n6pl,kfc (giant kota damansara),fried chicken,4.3,"[""Chicken Chop"", ""Seasonal Vegetables"", ""Spicy Stir Fry"", ""Fresh Juice"", ""House Noodle"", ""Soup of the Day""]",Mon-Sun 16:00-01:00,mid,RM15-RM35,"cuisine:default, price:mid, delivery, dine-in, quick-bites, late-night",True
r4zj,nasi lemak gula hangus,malaysian,4.6,"[""Mee Goreng Mamak"", ""Sambal Sotong"", ""Ayam Berempah"", ""Ikan Bakar"", ""Nasi Lemak Special"", ""Laksa Utara""]",Tue-Sun 16:00-01:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, takeaway, quick-bites, dine-in, late-night",True
g0qu,ayam gepuk pak gembus (pelangi),fried chicken,4.4,"[""House Noodle"", ""Chef Signature Rice"", ""Dessert Special"", ""Fresh Juice"", ""Seasonal Vegetables"", ""Spicy Stir Fry""]",Tue-Sun 07:00-15:00,budget,RM8-RM20,"cuisine:default, price:budget, dine-in, takeaway, family-friendly",True
vagy,d'tebing corner kota damansara,fried rice,4.5,"[""Soup of the Day"", ""Spicy Stir Fry"", ""Chef Signature Rice"", ""Fresh Juice"", ""Seasonal Vegetables"", ""House Noodle""]",Mon-Fri 12:00-23:00,mid,RM15-RM35,"cuisine:default, price:mid, halal-friendly, spicy, family-friendly, late-night",True
u3pp,bali bakar @ bandar utama,chicken,4.7,"[""House Noodle"", ""Seasonal Vegetables"", ""Soup of the Day"", ""Chef Signature Rice"", ""Spicy Stir Fry"", ""Chicken Chop""]",Mon-Sun 07:00-15:00,mid,RM15-RM35,"cuisine:default, price:mid, spicy, family-friendly, halal-friendly",True
q5kp,7686 choy kor homecook recipes,noodles,4.6,"[""Pan Mee"", ""Barley Drink"", ""Fish Ball Noodle"", ""Dry Wantan Mee"", ""Curry Mee"", ""Fried Mee Hoon""]",Mon-Sun 10:00-20:00,premium,RM30-RM70,"cuisine:noodles, price:premium, dine-in, family-friendly, delivery",True
k06t,farzana corner,malaysian,4.4,"[""Roti Canai"", ""Teh Tarik"", ""Satay Set"", ""Ayam Berempah"", ""Mee Goreng Mamak"", ""Nasi Lemak Special""]",Mon-Fri 09:00-18:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, quick-bites, takeaway, delivery",True
p5ad,khadijah satay nasi lemak royale,chicken,4.7,"[""House Noodle"", ""Soup of the Day"", ""Chef Signature Rice"", ""Spicy Stir Fry"", ""Chicken Chop"", ""Seasonal Vegetables""]",Mon-Sat 16:00-01:00,mid,RM15-RM35,"cuisine:default, price:mid, dine-in, family-friendly, spicy, late-night",True
c2wy,gerai yusof kulaan,nasi lemak,4.7,"[""Mee Goreng Mamak"", ""Sambal Sotong"", ""Ayam Berempah"", ""Teh Tarik"", ""Nasi Goreng Kampung"", ""Laksa Utara""]",Tue-Sun 16:00-01:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, quick-bites, dine-in, spicy, late-night",True
r3nu,4fingers crispy chicken (petronas nkve),chicken,4.6,"[""Spicy Stir Fry"", ""Soup of the Day"", ""House Noodle"", ""Fresh Juice"", ""Dessert Special"", ""Chicken Chop""]",Mon-Sun 16:00-01:00,mid,RM15-RM35,"cuisine:default, price:mid, takeaway, family-friendly, halal-friendly, late-night",True
ha3g,satay king @ restoran coffeeman,malaysian,4.2,"[""Nasi Goreng Kampung"", ""Teh Tarik"", ""Satay Set"", ""Nasi Lemak Special"", ""Roti Canai"", ""Mee Goreng Mamak""]",Mon-Fri 12:00-23:00,budget,RM8-RM20,"cuisine:malaysian, price:budget, dine-in, takeaway, family-friendly, late-night",True
t7nu,lk fish ball aman suria (ara damansara),noodles,4.7,"[""Pan Mee"", ""Fried Mee Hoon"", ""Dry Wantan Mee"", ""Curry Mee"", ""Beef Noodle Soup"", ""Barley Drink""]",Tue-Sun 10:00-20:00,premium,RM30-RM70,"cuisine:noodles, price:premium, spicy, takeaway, quick-bites",True
vitd,kak mah & kak yah,nasi lemak,4.6,"[""Ikan Bakar"", ""Laksa Utara"", ""Mee Goreng Mamak"", ""Roti Canai"", ""Satay Set"", ""Ayam Berempah""]",Mon-Sat 09:00-18:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, spicy, takeaway, dine-in",True
p3cj,restoran nasi kandar subaidah (kota damansara),nasi kandar,4.6,"[""Ayam Berempah"", ""Satay Set"", ""Sambal Sotong"", ""Nasi Goreng Kampung"", ""Teh Tarik"", ""Nasi Lemak Special""]",Tue-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, quick-bites, dine-in, delivery",True
m2nr,restoran murah rezeki,roti canai,4.7,"[""Satay Set"", ""Mee Goreng Mamak"", ""Teh Tarik"", ""Laksa Utara"", ""Roti Canai"", ""Nasi Lemak Special""]",Mon-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, dine-in, halal-friendly, quick-bites",True
axey,a kee like seafood restaurant 记得来海鲜餐馆,chinese,4.1,"[""Sweet and Sour Fish"", ""Hot and Sour Soup"", ""Loh Mee"", ""Kung Pao Chicken"", ""Claypot Chicken Rice"", ""Char Kuey Teow""]",Mon-Sat 11:00-22:00,budget,RM8-RM20,"cuisine:chinese, price:budget, family-friendly, delivery, takeaway",True
swsk,kafe kafe (ara damansara),asian,4.2,"[""Spicy Stir Fry"", ""Seasonal Vegetables"", ""House Noodle"", ""Soup of the Day"", ""Fresh Juice"", ""Chef Signature Rice""]",Mon-Sun 10:00-20:00,mid,RM15-RM35,"cuisine:default, price:mid, halal-friendly, delivery, takeaway",True
fsqe,harum manis (ara damansara),asian,4.6,"[""Soup of the Day"", ""Spicy Stir Fry"", ""Dessert Special"", ""Chicken Chop"", ""House Noodle"", ""Chef Signature Rice""]",Tue-Sun 16:00-01:00,premium,RM30-RM70,"cuisine:default, price:premium, dine-in, quick-bites, spicy, late-night",True
m1fk,restoran idaman,malaysian,4.3,"[""Sambal Sotong"", ""Mee Goreng Mamak"", ""Satay Set"", ""Ikan Bakar"", ""Nasi Goreng Kampung"", ""Laksa Utara""]",Tue-Sun 10:00-20:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, halal-friendly, family-friendly, delivery",True
l4qu,woodkayu - mutiara damansara,western,3.9,"[""House Noodle"", ""Chicken Chop"", ""Spicy Stir Fry"", ""Soup of the Day"", ""Dessert Special"", ""Fresh Juice""]",Tue-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:default, price:premium, dine-in, delivery, family-friendly",True
f2rh,nasi ayam geprek kota dame,chicken,4.7,"[""Dessert Special"", ""Chicken Chop"", ""House Noodle"", ""Chef Signature Rice"", ""Spicy Stir Fry"", ""Soup of the Day""]",Mon-Sun 09:00-18:00,premium,RM30-RM70,"cuisine:default, price:premium, delivery, quick-bites, halal-friendly",True
g346,ani sup utara lotus ara damansara,soups,4.3,"[""Dessert Special"", ""Soup of the Day"", ""Seasonal Vegetables"", ""Spicy Stir Fry"", ""Fresh Juice"", ""House Noodle""]",Mon-Fri 11:00-22:00,budget,RM8-RM20,"cuisine:default, price:budget, quick-bites, dine-in, takeaway",True
h9os,abe joe nasi paku denai alam,malaysian,4.6,"[""Teh Tarik"", ""Ayam Berempah"", ""Sambal Sotong"", ""Laksa Utara"", ""Roti Canai"", ""Mee Goreng Mamak""]",Mon-Sat 07:00-15:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, family-friendly, halal-friendly, dine-in",True
j0ne,nasi ahmad (kd - ss3),chicken,4.7,"[""Seasonal Vegetables"", ""Chef Signature Rice"", ""Soup of the Day"", ""Fresh Juice"", ""Spicy Stir Fry"", ""House Noodle""]",Mon-Fri 07:00-15:00,premium,RM30-RM70,"cuisine:default, price:premium, spicy, family-friendly, halal-friendly",True
n7ga,salai master (damansara),malaysian,4.7,"[""Nasi Lemak Special"", ""Ikan Bakar"", ""Ayam Berempah"", ""Satay Set"", ""Nasi Goreng Kampung"", ""Roti Canai""]",Mon-Sun 12:00-23:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, dine-in, family-friendly, halal-friendly, late-night",True
